binCenterNr2nc,fitValueslogNr2nc,binCenterNr2npr,fitValueslogNr2npr,binCenterNr2npc,fitValueslogNr2npc,binCenterNc2npr,fitValueslogNc2npr,binCenterNc2npc,fitValueslogNc2npc,binCenterNpr2npc,fitValueslogNpr2npc,
-9.8,3.89283870641,-9.8,3.66847997338,-9.8,1.72077609894,-9.8,4.10567432768,-9.8,1.98476667598,-9.8,3.80485611979
-9.6,4.07044697602,-9.6,3.86565426128,-9.6,1.81872656554,-9.6,4.30304789948,-9.6,2.08469385755,-9.6,3.97009419279
-9.4,4.26055526106,-9.4,4.07940535415,-9.4,1.92546033473,-9.4,4.51513665732,-9.4,2.19246181917,-9.4,4.14637668954
-9.2,4.4643710514,-9.2,4.31167647889,-9.2,2.04208510676,-9.2,4.74345538931,-9.2,2.30892480684,-9.2,4.33471433181
-9.0,4.68325208707,-9.0,4.56470964064,-9.0,2.16989378688,-9.0,4.98972108676,-9.0,2.43505853925,-9.0,4.53623666921
-8.8,4.91872950433,-8.8,4.84110369964,-8.8,2.31040418355,-8.8,5.25588661166,-8.8,2.57198191822,-8.8,4.75220932451
-8.6,5.17253527884,-8.6,5.14388639315,-8.6,2.46540942686,-8.6,5.54418117756,-8.6,2.72098349824,-8.6,4.98405424569
-8.4,5.44663490906,-8.4,5.47660438028,-8.4,2.6370427518,-8.4,5.85715928995,-8.4,2.88355397415,-8.4,5.23337358213
-8.2,5.74326652426,-8.2,5.84343682965,-8.2,2.82786190105,-8.2,6.19776026067,-8.2,3.06142634432,-8.2,5.50197794987
-8.0,6.06498791382,-8.0,6.24934012947,-8.0,3.04096101351,-8.0,6.56938103568,-8.0,3.25662595394,-8.0,5.79192003822
-7.8,6.41473338206,-7.8,6.70023430089,-7.8,3.28012240785,-7.8,6.97596591596,-7.8,3.47153338783,-7.8,6.10553475058
-7.6,6.79588286871,-7.6,7.20324617735,-7.6,3.55002921078,-7.6,7.42211789561,-7.6,3.70896426594,-7.6,6.44548738255
-7.4,7.2123464856,-7.4,7.76703131704,-7.4,3.85657699236,-7.4,7.91323791624,-7.4,3.97227156253,-7.4,6.81483174383
-7.2,7.66866857097,-7.2,8.40220767288,-7.2,4.20735890883,-7.2,8.45570053524,-7.2,4.26547839121,-7.2,7.21708065854
-7.0,8.17015664723,-7.0,9.12195262808,-7.0,4.61247677892,-7.0,9.05707761757,-7.0,4.59345274267,-7.0,7.65629197609
-6.8,8.72304242165,-6.8,9.94284796635,-6.8,5.08599546232,-6.8,9.72642614086,-6.8,4.96214130595,-6.8,8.13717415314
-6.6,9.33468439064,-6.6,10.8861189432,-6.6,5.64869440422,-6.6,10.4746627742,-6.6,5.37888900365,-6.6,8.66521671567
-6.4,10.0138249926,-6.4,11.9795333515,-6.4,6.33341894701,-6.4,11.3150577444,-6.4,5.8528879984,-6.4,9.24685260352
-6.2,10.7709200476,-6.2,13.2604632417,-6.2,7.19549409002,-6.2,12.2638956717,-6.2,6.39583313274,-6.2,9.88966172377
-6.0,11.6185651136,-6.0,14.7810758285,-6.0,8.33254480077,-6.0,13.3413751747,-6.0,7.02292915494,-6.0,10.6026282629
-5.8,12.5720534558,-5.8,16.617496207,-5.8,9.92073743648,-5.8,14.5728589289,-5.8,7.75454080996,-5.8,11.396468837
-5.6,13.6501153026,-5.6,18.8863359845,-5.6,12.2775261615,-5.6,15.9906549505,-5.6,8.61908788256,-5.6,12.2840550089
-5.4,14.875910804,-5.4,21.7744761495,-5.4,15.9631343854,-5.4,17.6366356164,-5.4,9.65843192348,-5.4,13.2809630231
-5.2,16.2783844504,-5.2,25.5914552999,-5.2,21.9315067091,-5.2,19.5662400341,-5.2,10.938264208,-5.2,14.4061973041
-5.0,17.894145161,-5.0,30.8575128799,-5.0,31.7322000222,-5.0,21.8548726271,-5.0,12.5682814132,-5.0,15.683154754
-4.8,19.7701293694,-4.8,38.4420043284,-4.8,47.743193593,-4.8,24.6086246079,-4.8,14.7405932579,-4.8,17.1409281723
-4.6,21.9674642787,-4.6,49.7620442931,-4.6,73.3789103465,-4.6,27.9829767401,-4.6,17.7997567447,-4.6,18.8160960093
-4.4,24.5672365788,-4.4,67.0333654716,-4.4,113.172638541,-4.4,32.2162061069,-4.4,22.3626952587,-4.4,20.7552241273
-4.2,27.6794224483,-4.2,93.5285080512,-4.2,172.593595229,-4.2,37.6890470785,-4.2,29.5077325149,-4.2,23.0184351535
-4.0,31.4573529492,-4.0,133.741644448,-4.0,257.452716581,-4.0,45.0283780222,-4.0,41.0420694774,-4.0,25.6846243425
-3.8,36.1224730118,-3.8,193.298350558,-3.8,372.808237748,-3.8,55.2777043727,-3.8,59.8271862723,-3.8,28.8593027935
-3.6,42.0093091155,-3.6,278.415047361,-3.6,521.420034038,-3.6,70.1541850639,-3.6,90.0854239505,-3.6,32.6868133382
-3.4,49.6513014594,-3.4,394.753241293,-3.4,702.005455194,-3.4,92.3889678926,-3.4,137.533521336,-3.4,37.3702102066
-3.2,59.9482537674,-3.2,545.667706093,-3.2,907.758319459,-3.2,126.090778957,-3.2,209.116921838,-3.2,43.2053931755
-3.0,74.4864178275,-3.0,730.113724187,-3.0,1125.70946964,-3.0,176.977109235,-3.0,312.103734681,-3.0,50.6433063103
-2.8,96.1084787792,-2.8,940.783236084,-2.8,1337.43482578,-2.8,252.205250307,-2.8,452.401108463,-2.8,60.4093524252
-2.6,129.802893716,-2.6,1163.23982445,-2.6,1521.31346192,-2.6,359.472091932,-2.6,632.214727669,-2.6,73.7384444555
