#Source Plate,Source Well,Proposed Destination Plate,Proposed Destination Well
161,D03,15,G03
162,F12,15,G04
164,C02,15,G05
166,A02,15,G06
166,E11,15,G07
167,D11,15,G08
168,E08,15,G09
169,F08,15,G10
170,E09,15,G11
171,C06,15,G12
159,H11,15,H01
160,E08,15,H02
161,G08,15,H03
163,A02,15,H04
164,C03,15,H05
166,B11,15,H06
166,E04,15,H07
167,E10,15,H08
168,H08,15,H09
169,G05,15,H10
170,F08,15,H11
171,C06,15,H12
176,C10,16,A05
176,G07,16,A06
176,C02,16,B05
176,C04,16,C05
176,C05,16,D05
176,D05,16,E05
176,E10,16,F05
176,A01,16,G04
176,G02,16,G05
176,B09,16,H04
176,G06,16,H05
171,E07,16,A01
172,H03,16,A02
174,D08,16,A03
175,E06,16,A04
177,G12,16,A07
178,F12,16,A08
179,B12,16,A09
179,H11,16,A10
181,E12,16,A11
183,C08,16,A12
171,G06,16,B01
173,B11,16,B02
174,E02,16,B03
177,A05,16,B06
178,A07,16,B07
178,F03,16,B08
179,B06,16,B09
180,E10,16,B10
181,F06,16,B11
183,E10,16,B12
172,A10,16,C01
173,C12,16,C02
174,F02,16,C03
175,E09,16,C04
177,A07,16,C06
178,F09,16,C08
179,C10,16,C09
180,G10,16,C10
182,A07,16,C11
183,F12,16,C12
172,A12,16,D01
173,C08,16,D02
174,G02,16,D03
175,F11,16,D04
177,A09,16,D06
178,B09,16,D07
178,G12,16,D08
179,C02,16,D09
180,G02,16,D10
182,C11,16,D11
183,G12,16,D12
172,C12,16,E01
173,D03,16,E02
175,B11,16,E03
175,G02,16,E04
177,C03,16,E06
178,C11,16,E07
178,H09,16,E08
179,C07,16,E09
181,B10,16,E10
182,E07,16,E11
183,H10,16,E12
172,C03,16,F01
173,E12,16,F02
175,B07,16,F03
175,G08,16,F04
177,C04,16,F06
178,C03,16,F07
179,A05,16,F08
179,E07,16,F09
181,C12,16,F10
182,E09,16,F11
183,H08,16,F12
172,E07,16,G01
174,A03,16,G02
175,D12,16,G03
177,D07,16,G06
178,E12,16,G07
179,A07,16,G08
179,F02,16,G09
181,C06,16,G10
182,H07,16,G11
184,A10,16,G12
172,G03,16,H01
174,B08,16,H02
175,D04,16,H03
177,F05,16,H06
178,E06,16,H07
179,B11,16,H08
179,F04,16,H09
181,D02,16,H10
183,B07,16,H11
184,C02,16,H12
184,C05,17,A01
185,C05,17,A02
186,C04,17,A03
187,A04,17,A04
187,G06,17,A05
188,H11,17,A06
189,H11,17,A07
191,D08,17,A08
192,C04,17,A09
193,D02,17,A10
194,D07,17,A11
184,D09,17,B01
185,D11,17,B02
186,F10,17,B03
187,A09,17,B04
189,B08,17,B06
189,H08,17,B07
191,E12,17,B08
192,F12,17,B09
193,F02,17,B10
194,D08,17,B11
195,D11,17,B12
184,G10,17,C01
185,D02,17,C02
186,F06,17,C03
187,B07,17,C04
188,A06,17,C05
189,C11,17,C06
190,A02,17,C07
191,E05,17,C08
192,F06,17,C09
193,G12,17,C10
194,E02,17,C11
195,G10,17,C12
184,G02,17,D01
185,E12,17,D02
186,G12,17,D03
187,C10,17,D04
188,C03,17,D05
189,C06,17,D06
190,A04,17,D07
191,G12,17,D08
192,G05,17,D09
193,G07,17,D10
194,E03,17,D11
195,G11,17,D12
184,G03,17,E01
185,G02,17,E02
186,G02,17,E03
187,C03,17,E04
188,D12,17,E05
189,C09,17,E06
190,C05,17,E07
191,G07,17,E08
192,H11,17,E09
193,H03,17,E10
194,E07,17,E11
195,H07,17,E12
184,H09,17,F01
185,H06,17,F02
186,G09,17,F03
187,E10,17,F04
188,D02,17,F05
189,E12,17,F06
190,H05,17,F07
191,H04,17,F08
193,B09,17,F09
193,H08,17,F10
194,G12,17,F11
196,B08,17,F12
185,C10,17,G01
186,B07,17,G02
187,A10,17,G03
187,F06,17,G04
188,E05,17,G05
189,F03,17,G06
191,A08,17,G07
192,A04,17,G08
193,C03,17,G09
194,C02,17,G10
195,A05,17,G11
196,E07,17,G12
185,C11,17,H01
186,C11,17,H02
187,A03,17,H03
187,G11,17,H04
188,F07,17,H05
189,G05,17,H06
191,B02,17,H07
192,B12,17,H08
193,C06,17,H09
194,D04,17,H10
195,A06,17,H11
197,A10,17,H12
197,B10,18,A01
198,A02,18,A02
198,G11,18,A03
199,F02,18,A04
200,F09,18,A05
201,D12,18,A06
202,C11,18,A07
203,D05,18,A08
204,H04,18,A09
205,G09,18,A10
207,F06,18,A11
208,G02,18,A12
197,D07,18,B01
198,C11,18,B02
198,G12,18,B03
199,F08,18,B04
200,G02,18,B05
202,C12,18,B07
203,G12,18,B08
205,A01,18,B09
206,B04,18,B10
207,G04,18,B11
208,G03,18,B12
197,D09,18,C01
198,C04,18,C02
198,G05,18,C03
199,G09,18,C04
200,G03,18,C05
201,D03,18,C06
202,H09,18,C07
204,A12,18,C08
205,A09,18,C09
206,D08,18,C10
208,C06,18,C11
208,H02,18,C12
197,E10,18,D01
198,C05,18,D02
198,H07,18,D03
200,B06,18,D04
200,H07,18,D05
201,G07,18,D06
203,B10,18,D07
204,A04,18,D08
205,C04,18,D09
206,F06,18,D10
208,C07,18,D11
209,A12,18,D12
197,E12,18,E01
198,C06,18,E02
199,A12,18,E03
200,B09,18,E04
201,A01,18,E05
201,H04,18,E06
203,B08,18,E07
204,C07,18,E08
205,D02,18,E09
206,G07,18,E10
208,E10,18,E11
209,A06,18,E12
197,E09,18,F01
198,E11,18,F02
199,D07,18,F03
200,D10,18,F04
201,A02,18,F05
202,A10,18,F06
203,C06,18,F07
204,C08,18,F08
205,E12,18,F09
206,H02,18,F10
208,E05,18,F11
209,E03,18,F12
197,F12,18,G01
198,E02,18,G02
199,E12,18,G03
200,F02,18,G04
201,A04,18,G05
202,A07,18,G06
203,C08,18,G07
204,D11,18,G08
205,E06,18,G09
207,C10,18,G10
208,E08,18,G11
209,E06,18,G12
197,F03,18,H01
198,E08,18,H02
199,E05,18,H03
200,F04,18,H04
201,C11,18,H05
202,B04,18,H06
203,D04,18,H07
204,F03,18,H08
205,G12,18,H09
207,C11,18,H10
208,E09,18,H11
209,F02,18,H12
209,F08,19,A01
210,G04,19,A02
211,G04,19,A03
213,C03,19,A04
214,D08,19,A05
215,H04,19,A06
217,E02,19,A07
218,C05,19,A08
218,H04,19,A09
220,A09,19,A10
221,E12,19,A11
223,A11,19,A12
209,G06,19,B01
210,H02,19,B02
211,G07,19,B03
213,C04,19,B04
214,E10,19,B05
216,B07,19,B06
218,D09,19,B08
218,H09,19,B09
220,B11,19,B10
221,H02,19,B11
223,A02,19,B12
209,G09,19,C01
211,D12,19,C02
212,B12,19,C03
213,C08,19,C04
214,E09,19,C05
216,B08,19,C06
217,G11,19,C07
218,E10,19,C08
219,A01,19,C09
220,D02,19,C10
222,A07,19,C11
223,B05,19,C12
209,H11,19,D01
211,D04,19,D02
212,D07,19,D03
213,D08,19,D04
215,C09,19,D05
216,B09,19,D06
217,G02,19,D07
218,E03,19,D08
219,C11,19,D09
220,E05,19,D10
222,B11,19,D11
223,D02,19,D12
210,B09,19,E01
211,F05,19,E02
212,F02,19,E03
213,E11,19,E04
215,F12,19,E05
216,C07,19,E06
217,H05,19,E07
218,E07,19,E08
219,C02,19,E09
220,G06,19,E10
222,E11,19,E11
223,E12,19,E12
210,C09,19,F01
211,F07,19,F02
212,F03,19,F03
213,F09,19,F04
215,F07,19,F05
217,C10,19,F06
218,A06,19,F07
218,F05,19,F08
219,C08,19,F09
221,B07,19,F10
222,F03,19,F11
223,E03,19,F12
210,D04,19,G01
211,G10,19,G02
212,G06,19,G03
214,A12,19,G04
215,G02,19,G05
217,C09,19,G06
218,B12,19,G07
218,F07,19,G08
219,F09,19,G09
221,C06,19,G10
222,G04,19,G11
223,E04,19,G12
210,E11,19,H01
211,G02,19,H02
212,H07,19,H03
214,D07,19,H04
215,H12,19,H05
217,E10,19,H06
218,B09,19,H07
218,H10,19,H08
219,G07,19,H09
221,D09,19,H10
223,A01,19,H11
223,E06,19,H12
223,G05,20,A01
225,A03,20,A02
226,D10,20,A03
227,D05,20,A04
228,G06,20,A05
229,H11,20,A06
231,E05,20,A07
232,E02,20,A08
232,G08,20,A09
233,H11,20,A10
235,C02,20,A11
236,D01,20,A12
224,C11,20,B01
225,E03,20,B02
226,E02,20,B03
227,D09,20,B04
228,H02,20,B05
230,D11,20,B06
231,F10,20,B07
233,A06,20,B09
234,B12,20,B10
235,D11,20,B11
236,F06,20,B12
224,D05,20,C01
225,F02,20,C02
226,F02,20,C03
227,E12,20,C04
229,B07,20,C05
230,D07,20,C06
231,F06,20,C07
232,F01,20,C08
233,B10,20,C09
234,B05,20,C10
235,G02,20,C11
236,H02,20,C12
224,E09,20,D01
225,G06,20,D02
226,H11,20,D03
228,B05,20,D04
229,C03,20,D05
230,E08,20,D06
231,H02,20,D07
232,F10,20,D08
233,C01,20,D09
234,D01,20,D10
235,G04,20,D11
237,A12,20,D12
224,G10,20,E01
225,G09,20,E02
226,H09,20,E03
228,D10,20,E04
229,C08,20,E05
230,F04,20,E06
232,B10,20,E07
232,F12,20,E08
233,E04,20,E09
234,D11,20,E10
235,H10,20,E11
237,A08,20,E12
224,G11,20,F01
225,H03,20,F02
227,A06,20,F03
228,D04,20,F04
229,D05,20,F05
231,A05,20,F06
232,B06,20,F07
232,G10,20,F08
233,F04,20,F09
234,F12,20,F10
236,A03,20,F11
237,E12,20,F12
224,G09,20,G01
226,A11,20,G02
227,C12,20,G03
228,E08,20,G04
229,E09,20,G05
231,C07,20,G06
232,C03,20,G07
232,G02,20,G08
233,F06,20,G09
234,F02,20,G10
236,B11,20,G11
237,E02,20,G12
224,H12,20,H01
226,C05,20,H02
227,D02,20,H03
228,F09,20,H04
229,G11,20,H05
231,D05,20,H06
232,C08,20,H07
232,G05,20,H08
233,H01,20,H09
234,H11,20,H10
236,C08,20,H11
237,F09,20,H12
239,B09,21,C02
237,G07,21,A01
238,F06,21,A02
239,G02,21,A03
241,B12,21,A04
242,C12,21,A05
243,A10,21,A06
244,A10,21,A07
245,F03,21,A08
246,G04,21,A09
247,E01,21,A10
249,E01,21,A11
250,D02,21,A12
237,G08,21,B01
238,H03,21,B02
239,G09,21,B03
241,B04,21,B04
242,C04,21,B05
243,A06,21,B06
244,B05,21,B07
245,G07,21,B08
247,E04,21,B10
249,F10,21,B11
250,E02,21,B12
237,G09,21,C01
239,H10,21,C03
241,B08,21,C04
242,E10,21,C05
243,B04,21,C06
244,C10,21,C07
245,G09,21,C08
246,H08,21,C09
248,C05,21,C10
249,F06,21,C11
251,C01,21,C12
238,A11,21,D01
239,C11,21,D02
240,D11,21,D03
241,D03,21,D04
242,E12,21,D05
243,D04,21,D06
244,F02,21,D07
245,H02,21,D08
247,A11,21,D09
248,D08,21,D10
249,H01,21,D11
251,C10,21,D12
238,C08,21,E01
239,E02,21,E02
240,D05,21,E03
241,F11,21,E04
242,F05,21,E05
243,E10,21,E06
244,G12,21,E07
245,H07,21,E08
247,A04,21,E09
248,E01,21,E10
250,A02,21,E11
251,D04,21,E12
238,D10,21,F01
239,E06,21,F02
240,E11,21,F03
241,F04,21,F04
242,G04,21,F05
243,G11,21,F06
244,G03,21,F07
246,B07,21,F08
247,C11,21,F09
249,C03,21,F10
250,A04,21,F11
251,D05,21,F12
238,F01,21,G01
239,F07,21,G02
240,F10,21,G03
242,A02,21,G04
242,H10,21,G05
243,H10,21,G06
245,A10,21,G07
246,D07,21,G08
247,D05,21,G09
249,C09,21,G10
250,B12,21,G11
251,E05,21,G12
238,F05,21,H01
239,G11,21,H02
241,A12,21,H03
242,A06,21,H04
242,H11,21,H05
244,A01,21,H06
245,C07,21,H07
246,F11,21,H08
247,D08,21,H09
249,D07,21,H10
250,C12,21,H11
251,F05,21,H12
257,A07,22,A05
251,F07,22,A01
253,A05,22,A02
253,H11,22,A03
255,B10,22,A04
258,G10,22,A06
260,F02,22,A07
261,E10,22,A08
262,D07,22,A09
263,C09,22,A10
263,H11,22,A11
264,G06,22,A12
251,H03,22,B01
253,B01,22,B02
253,H07,22,B03
255,C09,22,B04
257,B09,22,B05
258,H01,22,B06
260,G10,22,B07
261,F05,22,B08
262,E07,22,B09
263,H02,22,B11
264,G09,22,B12
251,H07,22,C01
253,C10,22,C02
254,B10,22,C03
255,D12,22,C04
258,B06,22,C05
258,H03,22,C06
260,H11,22,C07
261,H09,22,C08
262,H01,22,C09
263,E01,22,C10
263,H06,22,C11
264,H05,22,C12
252,C02,22,D01
253,F11,22,D02
254,C04,22,D03
255,G12,22,D04
258,D12,22,D05
261,B11,22,D07
262,A05,22,D08
262,H06,22,D09
263,F01,22,D10
264,A05,22,D11
265,C03,22,D12
252,C05,22,E01
253,F03,22,E02
254,D11,22,E03
255,H04,22,E04
258,D02,22,E05
259,D10,22,E06
261,B06,22,E07
262,A09,22,E08
262,H08,22,E09
263,F06,22,E10
264,C05,22,E11
265,D01,22,E12
252,C07,22,F01
253,F09,22,F02
254,G06,22,F03
255,H08,22,F04
258,D04,22,F05
259,E07,22,F06
261,C08,22,F07
262,B01,22,F08
263,B10,22,F09
263,G11,22,F10
264,C09,22,F11
265,D11,22,F12
252,D01,22,G01
253,G12,22,G02
254,H05,22,G03
256,C06,22,G04
258,E01,22,G05
259,F01,22,G06
261,D02,22,G07
262,B12,22,G08
263,B08,22,G09
263,G09,22,G10
264,D12,22,G11
265,D09,22,G12
252,G08,22,H01
253,G09,22,H02
255,A12,22,H03
256,G06,22,H04
258,F09,22,H05
260,D01,22,H06
261,D05,22,H07
262,C06,22,H08
263,B09,22,H09
263,H01,22,H10
264,E06,22,H11
265,E06,22,H12
265,F11,23,A01
266,H10,23,A02
267,G01,23,A03
268,E09,23,A04
269,G01,23,A05
271,A02,23,A06
272,C03,23,A07
273,H05,23,A08
274,F12,23,A09
275,C05,23,A10
275,H11,23,A11
276,E01,23,A12
265,F05,23,B01
266,H02,23,B02
267,G09,23,B03
268,F03,23,B04
269,H06,23,B05
271,A04,23,B06
272,C05,23,B07
273,H06,23,B08
274,G05,23,B09
275,E07,23,B10
276,F06,23,B12
265,H04,23,C01
266,H09,23,C02
267,H04,23,C03
268,F05,23,C04
270,A11,23,C05
271,A08,23,C06
272,D02,23,C07
274,A01,23,C08
274,G08,23,C09
275,F01,23,C10
275,H04,23,C11
277,C05,23,C12
266,C05,23,D01
267,A05,23,D02
267,H08,23,D03
268,G03,23,D04
270,A08,23,D05
271,B07,23,D06
272,F07,23,D07
274,A04,23,D08
274,H01,23,D09
275,F11,23,D10
275,H05,23,D11
277,C07,23,D12
266,E10,23,E01
267,C11,23,E02
267,H09,23,E03
268,G07,23,E04
270,C08,23,E05
271,D09,23,E06
273,B01,23,E07
274,B01,23,E08
274,H10,23,E09
275,F06,23,E10
275,H08,23,E11
277,D10,23,E12
266,E12,23,F01
267,C09,23,F02
268,B05,23,F03
269,A04,23,F04
270,G07,23,F05
271,E05,23,F06
273,B05,23,F07
274,C02,23,F08
275,A02,23,F09
275,F07,23,F10
276,A05,23,F11
277,E12,23,F12
266,E06,23,G01
267,D01,23,G02
268,D01,23,G03
269,B10,23,G04
270,H02,23,G05
271,H02,23,G06
273,D08,23,G07
274,E08,23,G08
275,B06,23,G09
275,G04,23,G10
276,B10,23,G11
277,E02,23,G12
266,E08,23,H01
267,E10,23,H02
268,D09,23,H03
269,F10,23,H04
270,H09,23,H05
272,A09,23,H06
273,F10,23,H07
274,F10,23,H08
275,B09,23,H09
275,G07,23,H10
276,C05,23,H11
277,F10,23,H12
277,F07,24,A01
278,F10,24,A02
279,E06,24,A03
280,G01,24,A04
281,D01,24,A05
282,D01,24,A06
282,H02,24,A07
284,B08,24,A08
284,G06,24,A09
286,E04,24,A10
287,E01,24,A11
288,F04,24,A12
277,H01,24,B01
278,G12,24,B02
279,G05,24,B03
280,H06,24,B04
281,D02,24,B05
282,D12,24,B06
283,A03,24,B07
284,C08,24,B08
284,H09,24,B09
286,F02,24,B10
287,E10,24,B11
277,H06,24,C01
278,G04,24,C02
280,A09,24,C03
280,H09,24,C04
281,E08,24,C05
282,E05,24,C06
283,A05,24,C07
284,D10,24,C08
285,C11,24,C09
286,F05,24,C10
287,E11,24,C11
289,A01,24,C12
278,A12,24,D01
279,B05,24,D02
280,C06,24,D03
281,A03,24,D04
281,F04,24,D05
282,F03,24,D06
283,B06,24,D07
284,D11,24,D08
285,E07,24,D09
287,A06,24,D10
287,F12,24,D11
289,A03,24,D12
278,B08,24,E01
279,C02,24,E02
280,D10,24,E03
281,B01,24,E04
281,G07,24,E05
282,F04,24,E06
283,C03,24,E07
284,D08,24,E08
285,G05,24,E09
287,B10,24,E10
288,A01,24,E11
289,B08,24,E12
278,D01,24,F01
279,C04,24,F02
280,D05,24,F03
281,B02,24,F04
281,H05,24,F05
282,F05,24,F06
283,D11,24,F07
284,E04,24,F08
285,H05,24,F09
287,B08,24,F10
288,C01,24,F11
289,C03,24,F12
278,D08,24,G01
279,D01,24,G02
280,D09,24,G03
281,B08,24,G04
282,A08,24,G05
282,G04,24,G06
284,A03,24,G07
284,F01,24,G08
286,A12,24,G09
287,C02,24,G10
288,C11,24,G11
289,C06,24,G12
278,E02,24,H01
279,E11,24,H02
280,F07,24,H03
281,C04,24,H04
282,C12,24,H05
282,H10,24,H06
284,B01,24,H07
284,F03,24,H08
286,A05,24,H09
287,D04,24,H10
288,E02,24,H11
289,G12,24,H12
289,H11,25,A01
291,C07,25,A02
292,B06,25,A03
292,G06,25,A04
293,G03,25,A05
294,E08,25,A06
295,D08,25,A07
296,F03,25,A08
297,E03,25,A09
298,E02,25,A10
298,G05,25,A11
299,E08,25,A12
290,A07,25,B01
291,C08,25,B02
292,C03,25,B03
293,A04,25,B04
293,H08,25,B05
294,F07,25,B06
295,E11,25,B07
296,F07,25,B08
297,F03,25,B09
298,E07,25,B10
298,H12,25,B11
299,F11,25,B12
291,C09,25,C02
292,C05,25,C03
293,B05,25,C04
294,A09,25,C05
294,H06,25,C06
295,E05,25,C07
296,H07,25,C08
297,H08,25,C09
298,F10,25,C10
298,H04,25,C11
300,A01,25,C12
290,D10,25,D01
291,E12,25,D02
292,D12,25,D03
293,C02,25,D04
294,C02,25,D05
295,A12,25,D06
296,A06,25,D07
297,A09,25,D08
297,H09,25,D09
298,F11,25,D10
298,H09,25,D11
300,A02,25,D12
290,E07,25,E01
291,E03,25,E02
292,D05,25,E03
293,C04,25,E04
294,D03,25,E05
295,A02,25,E06
296,B06,25,E07
297,B11,25,E08
298,A10,25,E09
298,F02,25,E10
299,A10,25,E11
300,A07,25,E12
290,G05,25,F01
291,G09,25,F02
292,E05,25,F03
293,D11,25,F04
294,D09,25,F05
295,B11,25,F06
296,C12,25,F07
297,B09,25,F08
298,E10,25,F09
298,F04,25,F10
299,C03,25,F11
300,B09,25,F12
291,C11,25,G01
292,A03,25,G02
292,E09,25,G03
293,F08,25,G04
294,E01,25,G05
295,C04,25,G06
296,C05,25,G07
297,C03,25,G08
298,E11,25,G09
298,F09,25,G10
299,C06,25,G11
300,C03,25,G12
291,C06,25,H01
292,B11,25,H02
292,F03,25,H03
293,F09,25,H04
294,E07,25,H05
295,C06,25,H06
296,E09,25,H07
297,D08,25,H08
298,E12,25,H09
298,G11,25,H10
299,E12,25,H11
300,C09,25,H12
306,E07,26,H09
300,D10,26,A01
301,A01,26,A02
301,F05,26,A03
302,C02,26,A04
302,G12,26,A05
303,D01,26,A06
303,G07,26,A07
304,G11,26,A08
305,F06,26,A09
306,F11,26,A10
307,C01,26,A11
308,F06,26,A12
300,D02,26,B01
301,B01,26,B02
301,G03,26,B03
302,C06,26,B04
302,G07,26,B05
303,E01,26,B06
303,H11,26,B07
304,G02,26,B08
305,G04,26,B09
306,F12,26,B10
307,D11,26,B11
308,G10,26,B12
300,E11,26,C01
302,A10,26,C03
302,D10,26,C04
302,H10,26,C05
303,E03,26,C06
304,B08,26,C07
304,H11,26,C08
305,G07,26,C09
306,F05,26,C10
307,D04,26,C11
308,G12,26,C12
300,E03,26,D01
301,B05,26,D02
302,B10,26,D03
302,D11,26,D04
302,H06,26,D05
303,E08,26,D06
304,C01,26,D07
304,H07,26,D08
305,H10,26,D09
306,G04,26,D10
307,G03,26,D11
308,G02,26,D12
300,E09,26,E01
301,C12,26,E02
302,B06,26,E03
302,D02,26,E04
303,A01,26,E05
303,F11,26,E06
304,C06,26,E07
305,C07,26,E08
306,A03,26,E09
306,G05,26,E10
307,G08,26,E11
308,G03,26,E12
300,F08,26,F01
301,C03,26,F02
302,B08,26,F03
302,E10,26,F04
303,B08,26,F05
303,G01,26,F06
304,C07,26,F07
305,D05,26,F08
306,D10,26,F09
306,G08,26,F10
308,B10,26,F11
308,H07,26,F12
300,G04,26,G01
301,D09,26,G02
302,C01,26,G03
302,F04,26,G04
303,B09,26,G05
303,G05,26,G06
304,D11,26,G07
305,E05,26,G08
306,E02,26,G09
306,H06,26,G10
308,C07,26,G11
308,H08,26,G12
300,H05,26,H01
301,E04,26,H02
302,C11,26,H03
302,G11,26,H04
303,C11,26,H05
303,G06,26,H06
304,E06,26,H07
305,E09,26,H08
307,B12,26,H10
308,E10,26,H11
308,H09,26,H12
309,A02,27,A01
310,G10,27,A02
311,C09,27,A03
312,D01,27,A04
312,H02,27,A05
314,C11,27,A06
315,A06,27,A07
315,E12,27,A08
317,D08,27,A09
319,D05,27,A10
320,F08,27,A11
321,D09,27,A12
309,B08,27,B01
310,G09,27,B02
311,E06,27,B03
312,D02,27,B04
313,A01,27,B05
314,D05,27,B06
315,A09,27,B07
315,H08,27,B08
317,G12,27,B09
319,G12,27,B10
320,G10,27,B11
321,F06,27,B12
309,D11,27,C01
310,H09,27,C02
312,D05,27,C04
313,A11,27,C05
314,E02,27,C06
315,B07,27,C07
316,A03,27,C08
319,G02,27,C10
320,H02,27,C11
322,A05,27,C12
310,A08,27,D01
311,A04,27,D02
311,E08,27,D03
312,E02,27,D04
313,E02,27,D05
314,F12,27,D06
315,B08,27,D07
316,B11,27,D08
318,D11,27,D09
319,H12,27,D10
320,H09,27,D11
322,D02,27,D12
310,C10,27,E01
311,B07,27,E02
311,F03,27,E03
312,E04,27,E04
313,F07,27,E05
314,F06,27,E06
315,C08,27,E07
316,E03,27,E08
318,F12,27,E09
320,A04,27,E10
321,A03,27,E11
322,H02,27,E12
310,D11,27,F01
311,B08,27,F02
312,A02,27,F03
312,F11,27,F04
313,H02,27,F05
314,F08,27,F06
315,D10,27,F07
316,E04,27,F08
318,G10,27,F09
320,E09,27,F10
321,B10,27,F11
323,A05,27,F12
310,E01,27,G01
311,C10,27,G02
312,A03,27,G03
312,F07,27,G04
313,H08,27,G05
314,G07,27,G06
315,D02,27,G07
316,H02,27,G08
318,H01,27,G09
320,F04,27,G10
321,B07,27,G11
323,C01,27,G12
310,F06,27,H01
311,C06,27,H02
312,B07,27,H03
312,G03,27,H04
314,B11,27,H05
315,A10,27,H06
315,D04,27,H07
316,H05,27,H08
319,C09,27,H09
320,F05,27,H10
321,B09,27,H11
323,C03,27,H12
323,C08,28,A01
324,E04,28,A02
326,F05,28,A03
327,D09,28,A04
328,C11,28,A05
330,A11,28,A06
330,H02,28,A07
331,G09,28,A08
332,H07,28,A09
334,A05,28,A10
335,B01,28,A11
336,C10,28,A12
323,D12,28,B01
324,E06,28,B02
326,G01,28,B03
327,E09,28,B04
328,D02,28,B05
330,C12,28,B06
331,A03,28,B07
331,H01,28,B08
333,B01,28,B09
334,B09,28,B10
335,B07,28,B11
336,D04,28,B12
323,H09,28,C01
324,G09,28,C02
326,G04,28,C03
328,D04,28,C05
330,C02,28,C06
331,D10,28,C07
332,C07,28,C08
333,C11,28,C09
334,C01,28,C10
335,C12,28,C11
336,G07,28,C12
324,A03,28,D01
325,B11,28,D02
326,G07,28,D03
327,F11,28,D04
328,E05,28,D05
330,C03,28,D06
331,E04,28,D07
332,D11,28,D08
333,D08,28,D09
334,D10,28,D10
335,C08,28,D11
336,H06,28,D12
324,B10,28,E01
325,E10,28,E02
326,H01,28,E03
327,G10,28,E04
328,F05,28,E05
330,C08,28,E06
331,E05,28,E07
332,D05,28,E08
333,F05,28,E09
334,D04,28,E10
335,E08,28,E11
337,A11,28,E12
324,C11,28,F01
325,F01,28,F02
327,A01,28,F03
327,G05,28,F04
328,F06,28,F05
330,D12,28,F06
331,F11,28,F07
332,F11,28,F08
333,G03,28,F09
334,G11,28,F10
335,H03,28,F11
337,B08,28,F12
324,D10,28,G01
326,B04,28,G02
327,A02,28,G03
327,H07,28,G04
330,E10,28,G06
331,F12,28,G07
332,F06,28,G08
333,H04,28,G09
334,H04,28,G10
336,B12,28,G11
337,C05,28,G12
324,D07,28,H01
326,C07,28,H02
327,B05,28,H03
328,B07,28,H04
330,A10,28,H05
330,H11,28,H06
331,G11,28,H07
332,H05,28,H08
333,H08,28,H09
334,H09,28,H10
336,B08,28,H11
337,C09,28,H12
337,D04,29,A01
338,A08,29,A02
338,E03,29,A03
339,B12,29,A04
340,F05,29,A05
341,D04,29,A06
342,B06,29,A07
343,C09,29,A08
344,C10,29,A09
344,G03,29,A10
345,H04,29,A11
347,C02,29,A12
337,E10,29,B01
338,A09,29,B02
338,G03,29,B03
339,C12,29,B04
340,H01,29,B05
341,E02,29,B06
342,C01,29,B07
343,D05,29,B08
344,D10,29,B09
344,G08,29,B10
346,B09,29,B11
347,E11,29,B12
337,E09,29,C01
338,B11,29,C02
338,G08,29,C03
339,C08,29,C04
341,E06,29,C06
342,D05,29,C07
343,E12,29,C08
344,D03,29,C09
344,H06,29,C10
346,C10,29,C11
347,E06,29,C12
337,G10,29,D01
338,B05,29,D02
338,H01,29,D03
339,E12,29,D04
341,B12,29,D05
341,F02,29,D06
342,E12,29,D07
343,E02,29,D08
344,D08,29,D09
344,H08,29,D10
346,D05,29,D11
347,G10,29,D12
337,H02,29,E01
338,D10,29,E02
338,H04,29,E03
339,G04,29,E04
341,C04,29,E05
341,G10,29,E06
342,E09,29,E07
343,F06,29,E08
344,D09,29,E09
345,A08,29,E10
346,E04,29,E11
347,G11,29,E12
338,A01,29,F01
338,D12,29,F02
338,H07,29,F03
339,H12,29,F04
341,C09,29,F05
341,H11,29,F06
342,H08,29,F07
343,G09,29,F08
344,E04,29,F09
345,E10,29,F10
346,G03,29,F11
347,G02,29,F12
338,A06,29,G01
338,D05,29,G02
339,A08,29,G03
340,A02,29,G04
341,D12,29,G05
342,A06,29,G06
343,B05,29,G07
344,B01,29,G08
344,F06,29,G09
345,G10,29,G10
346,H03,29,G11
347,G03,29,G12
338,A07,29,H01
338,E12,29,H02
339,A09,29,H03
340,C07,29,H04
341,D03,29,H05
342,A09,29,H06
343,C11,29,H07
344,B07,29,H08
344,F08,29,H09
345,G12,29,H10
347,B08,29,H11
347,G06,29,H12
351,G10,30,G05
348,A01,30,A01
348,F02,30,A02
349,C12,30,A03
350,D11,30,A04
351,B11,30,A05
352,B05,30,A06
353,D01,30,A07
354,D04,30,A08
355,B04,30,A09
356,B08,30,A10
357,F11,30,A11
358,H12,30,A12
348,A02,30,B01
348,F09,30,B02
349,F10,30,B03
350,D09,30,B04
351,B08,30,B05
352,C02,30,B06
353,E09,30,B07
354,E10,30,B08
355,D11,30,B09
356,B09,30,B10
357,F03,30,B11
359,A09,30,B12
348,A03,30,C01
348,G01,30,C02
349,G01,30,C03
350,E04,30,C04
351,D02,30,C05
353,F01,30,C07
354,E08,30,C08
355,D04,30,C09
356,E06,30,C10
357,G04,30,C11
348,A07,30,D01
348,G04,30,D02
349,H09,30,D03
350,F01,30,D04
351,D07,30,D05
352,D10,30,D06
353,G11,30,D07
354,E09,30,D08
355,F02,30,D09
356,G03,30,D10
358,A01,30,D11
359,B11,30,D12
348,B08,30,E01
348,G07,30,E02
