#Source Plate,Source Well,Proposed Destination Plate,Proposed Destination Well
88,H01,4,B07
91,A06,4,B08
91,G10,4,B09
93,H09,4,B10
95,C01,4,B11
96,B01,4,B12
85,H07,4,C05
87,A03,4,C06
89,B09,4,C07
91,B06,4,C08
91,G06,4,C09
94,A04,4,C10
95,C07,4,C11
96,B06,4,C12
85,A05,4,D04
86,A10,4,D05
87,C10,4,D06
89,D05,4,D07
91,C08,4,D08
92,A02,4,D09
94,A06,4,D10
95,D03,4,D11
96,D03,4,D12
85,B11,4,E04
86,C01,4,E05
87,D09,4,E06
89,E12,4,E07
91,C09,4,E08
92,A09,4,E09
94,B05,4,E10
95,F10,4,E11
96,G08,4,E12
85,B12,4,F04
86,C02,4,F05
87,F02,4,F06
89,E07,4,F07
91,D10,4,F08
92,B07,4,F09
94,D04,4,F10
95,G12,4,F11
96,H11,4,F12
85,C06,4,G04
86,D02,4,G05
87,G08,4,G06
89,H05,4,G07
91,D05,4,G08
92,C10,4,G09
94,D07,4,G10
95,G02,4,G11
96,H02,4,G12
85,D11,4,H04
86,D05,4,H05
88,B09,4,H06
90,D02,4,H07
91,D08,4,H08
92,E06,4,H09
95,A11,4,H10
96,A02,4,H11
97,A05,4,H12
97,F08,5,A01
99,F04,5,A02
100,H02,5,A03
103,H03,5,A04
105,H02,5,A06
97,G02,5,B01
99,H03,5,B02
101,C02,5,B03
103,H04,5,B04
104,F07,5,B05
97,G09,5,C01
100,A07,5,C02
101,D10,5,C03
104,A12,5,C04
104,H06,5,C05
98,E08,5,D01
100,A09,5,D02
102,D01,5,D03
104,B08,5,D04
105,A11,5,D05
98,F05,5,E01
100,E01,5,E02
102,D04,5,E03
104,C11,5,E04
105,A02,5,E05
99,C08,5,F01
100,E02,5,F02
103,A08,5,F03
104,C08,5,F04
105,C01,5,F05
99,D10,5,G01
100,F04,5,G02
103,G11,5,G03
104,E04,5,G04
105,E07,5,G05
99,F03,5,H01
100,F09,5,H02
103,G02,5,H03
104,E05,5,H04
105,F06,5,H05
110,B01,5,A07
111,E10,5,A08
113,E05,5,A09
115,A09,5,A10
116,H02,5,A11
119,A06,5,A12
106,B06,5,B06
110,B06,5,B07
111,G02,5,B08
113,F12,5,B09
115,B03,5,B10
117,A04,5,B11
119,D10,5,B12
106,G03,5,C06
110,F08,5,C07
111,H02,5,C08
113,H02,5,C09
115,E09,5,C10
117,G05,5,C11
120,E10,5,C12
108,A05,5,D06
110,H10,5,D07
111,H03,5,D08
114,B11,5,D09
115,F05,5,D10
117,H06,5,D11
120,F11,5,D12
108,A06,5,E06
111,A10,5,E07
111,H05,5,E08
114,B08,5,E09
115,G07,5,E10
118,A03,5,E11
120,G04,5,E12
108,F03,5,F06
111,A11,5,F07
112,B07,5,F08
114,F07,5,F09
115,H03,5,F10
118,B11,5,F11
121,A03,5,F12
111,B06,5,G07
112,D03,5,G08
115,A10,5,G09
116,A10,5,G10
118,C06,5,G11
121,A05,5,G12
109,F04,5,H06
111,D02,5,H07
113,D12,5,H08
115,A04,5,H09
116,A04,5,H10
118,F01,5,H11
121,C04,5,H12
121,G06,6,A01
123,H10,6,A02
125,E04,6,A03
122,B06,6,B01
124,A04,6,B02
125,F12,6,B03
122,C05,6,C01
124,A07,6,C02
125,F06,6,C03
122,E09,6,D01
124,E01,6,D02
125,H09,6,D03
122,F02,6,E01
124,F08,6,E02
126,F04,6,E03
122,F04,6,F01
125,B08,6,F02
126,F07,6,F03
122,G06,6,G01
125,C12,6,G02
126,H12,6,G03
122,G09,6,H01
125,E03,6,H02
127,D02,6,A04
130,B01,6,A05
133,E10,6,A07
134,H07,6,A08
136,D11,6,A09
139,C12,6,A10
141,C08,6,A11
143,B01,6,A12
127,E12,6,B04
130,B11,6,B05
132,D04,6,B06
133,F01,6,B07
135,A05,6,B08
136,E02,6,B09
139,C05,6,B10
141,F10,6,B11
143,B08,6,B12
127,H04,6,C04
130,G02,6,C05
132,G12,6,C06
133,F06,6,C07
135,C10,6,C08
136,E06,6,C09
139,F04,6,C10
142,C06,6,C11
143,D11,6,C12
128,A12,6,D04
130,G05,6,D05
133,B04,6,D06
133,G10,6,D07
135,C04,6,D08
137,B03,6,D09
139,G01,6,D10
142,F11,6,D11
143,F10,6,D12
128,D09,6,E04
130,H11,6,E05
133,C01,6,E06
133,G09,6,E07
135,D01,6,E08
137,C12,6,E09
140,B03,6,E10
142,G08,6,E11
143,F06,6,E12
128,G06,6,F04
131,A09,6,F05
133,C11,6,F06
133,H01,6,F07
135,F09,6,F08
137,D03,6,F09
140,F01,6,F10
142,H11,6,F11
144,A12,6,F12
129,A01,6,G04
131,E11,6,G05
133,C04,6,G06
133,H07,6,G07
135,H03,6,G08
138,D02,6,G09
141,C10,6,G10
142,H08,6,G11
144,B04,6,G12
127,C01,6,H03
129,F03,6,H04
132,A01,6,H05
133,C06,6,H06
134,C08,6,H07
135,H09,6,H08
139,B09,6,H09
141,C07,6,H10
143,A07,6,H11
144,B05,6,H12
10,D05,7,E06
16,D07,7,A10
10,F05,7,F06
1,B07,7,A01
2,D07,7,A02
4,A07,7,A03
6,C04,7,A04
7,F09,7,A05
9,D11,7,A06
13,A01,7,A08
15,A11,7,A09
17,F01,7,A11
20,G03,7,A12
1,D10,7,B01
2,E12,7,B02
4,D07,7,B03
6,D12,7,B04
8,C10,7,B05
9,G01,7,B06
11,H03,7,B07
13,B04,7,B08
15,B04,7,B09
16,F04,7,B10
17,H09,7,B11
20,H06,7,B12
1,E02,7,C01
2,G09,7,C02
5,A11,7,C03
6,H07,7,C04
8,C02,7,C05
10,A01,7,C06
11,H05,7,C07
13,C04,7,C08
15,D01,7,C09
16,F07,7,C10
18,H11,7,C11
20,H08,7,C12
1,G06,7,D01
3,A04,7,D02
5,C10,7,D03
6,H08,7,D04
8,D03,7,D05
10,G01,7,D06
11,H06,7,D07
13,G08,7,D08
15,E02,7,D09
17,A12,7,D10
21,D12,7,D12
1,H10,7,E01
3,F12,7,E02
5,C08,7,E03
7,A02,7,E04
8,E09,7,E05
12,B01,7,E07
14,C09,7,E08
15,E07,7,E09
17,B11,7,E10
19,H03,7,E11
21,G06,7,E12
1,H12,7,F01
3,F04,7,F02
5,F11,7,F03
7,A05,7,F04
8,F05,7,F05
12,B11,7,F07
14,E11,7,F08
15,H10,7,F09
17,C01,7,F10
19,H06,7,F11
21,H02,7,F12
1,H08,7,G01
3,F08,7,G02
6,A07,7,G03
7,B10,7,G04
9,C07,7,G05
11,F08,7,G06
12,G10,7,G07
14,G07,7,G08
16,A10,7,G09
17,E12,7,G10
20,C07,7,G11
22,A02,7,G12
2,A09,7,H01
3,H10,7,H02
6,B08,7,H03
7,E02,7,H04
9,C08,7,H05
11,H10,7,H06
12,G08,7,H07
14,G09,7,H08
16,A02,7,H09
17,E04,7,H10
20,E01,7,H11
22,B08,7,H12
31,A11,8,F07
22,C06,8,A01
23,G04,8,A02
25,A07,8,A03
26,D08,8,A04
27,E09,8,A05
28,F05,8,A06
29,F07,8,A07
33,B11,8,A09
34,F11,8,A10
35,F06,8,A11
38,A04,8,A12
22,C09,8,B01
24,A08,8,B02
25,B04,8,B03
26,E11,8,B04
27,G08,8,B05
28,F07,8,B06
29,G09,8,B07
31,D04,8,B08
33,E08,8,B09
35,A03,8,B10
38,A05,8,B12
22,H06,8,C01
24,C05,8,C02
25,C04,8,C03
26,E05,8,C04
27,G09,8,C05
28,G01,8,C06
29,H09,8,C07
31,E06,8,C08
33,F10,8,C09
35,B07,8,C10
36,A12,8,C11
38,B10,8,C12
22,H09,8,D01
24,D02,8,D02
25,D01,8,D03
26,E07,8,D04
28,A01,8,D05
28,G04,8,D06
30,A01,8,D07
31,F01,8,D08
34,B05,8,D09
35,C05,8,D10
36,B04,8,D11
38,E10,8,D12
23,A12,8,E01
24,F05,8,E02
25,F11,8,E03
26,F08,8,E04
28,B06,8,E05
28,H08,8,E06
30,H04,8,E07
32,B04,8,E08
34,C12,8,E09
35,D04,8,E10
36,F06,8,E11
38,E11,8,E12
23,C07,8,F01
24,F09,8,F02
25,F02,8,F03
27,C11,8,F04
28,C12,8,F05
29,A08,8,F06
32,C08,8,F08
34,D10,8,F09
35,E03,8,F10
37,C01,8,F11
38,G10,8,F12
23,D07,8,G01
24,G12,8,G02
25,H03,8,G03
