SO_0001,mioC,Dispensable
SO_0002,SO_0002,Dispensable
SO_0003,mnmE,Dispensable
SO_0004,yidC,Essential
SO_0005,yidD,Dispensable
SO_0006,rnpA,Essential
SO_0007,rpmH,Essential
SO_0008,dnaA,Essential
SO_0009,dnaN,Essential
SO_0010,recF,Dispensable
SO_0011,gyrB,Essential
SO_0012,SO_0012,Dispensable
SO_0013,SO_0013,Dispensable
SO_0014,glyS,Essential
SO_0015,glyQ,Essential
SO_0016,tag,Dispensable
SO_0017,SO_0017,Dispensable
SO_0018,SO_0018,Dispensable
SO_0019,tusA,Dispensable
SO_0020,fadA,Dispensable
SO_0021,fadB,Dispensable
SO_0022,pepQ,Dispensable
SO_0023,yigZ,Dispensable
SO_0024,trkH,Dispensable
SO_0025,hemG,Dispensable
SO_0026,SO_0026,Dispensable
SO_0027,hemG,Dispensable
SO_0028,trkI,Dispensable
SO_0029,trkA,Dispensable
SO_0030,rsmB,Dispensable
SO_0031,fmt,Essential
SO_0032,def,Dispensable
SO_0033,SO_0033,Dispensable
SO_0034,dprA,Dispensable
SO_0035,smg,Dispensable
SO_0036,yrdD,Dispensable
SO_0037,rimN,Essential
SO_0038,hemF,Essential
SO_0039,SO_0039,Dispensable
SO_0040,aroE,Dispensable
SO_0041,SO_0041,Dispensable
SO_0042,yrdA,Dispensable
SO_r001,rrsA,Dispensable
SO_r002,rrlA,Dispensable
SO_r003,rrfA,Dispensable
SO_t001,SO_t001,Dispensable
SO_0044,SO_0044,Dispensable
SO_0045,nsrR,Dispensable
SO_0046,yibQ,Dispensable
SO_0047,SO_0047,Dispensable
SO_0048,SO_0048,Dispensable
SO_0049,gpmA,Essential
SO_0050,SO_0050,Dispensable
SO_0052,secB,Essential
SO_0053,gpsA,Essential
SO_0054,yhiN,Dispensable
SO_0055,SO_0055,Dispensable
SO_0056,SO_0056,Dispensable
SO_0057,ktrB,Dispensable
SO_0058,ktrA,Dispensable
SO_0059,kdpE,Dispensable
SO_0060,kdpD,Dispensable
SO_0061,nlpC,Dispensable
SO_0062,SO_0062,Dispensable
SO_0063,SO_0063,Dispensable
SO_0065,mogA,Dispensable
SO_0066,SO_0066,Dispensable
SO_0067,pbpC,Dispensable
SO_0068,SO_0068,Dispensable
SO_0069,natB,Dispensable
SO_0070,natA,Dispensable
SO_0071,SO_0071,Dispensable
SO_0072,SO_0072,Dispensable
SO_0073,SO_0073,Dispensable
SO_0074,SO_0074,Dispensable
SO_0075,icfE,Dispensable
SO_0076,SO_0076,Dispensable
SO_0077,SO_0077,Dispensable
SO_0078,SO_0078,Dispensable
SO_0079,SO_0079,Dispensable
SO_0080,SO_0080,Dispensable
SO_0081,gfaB,Dispensable
SO_0082,SO_0082,Dispensable
SO_0083,SO_0083,Dispensable
SO_0084,mtnC,Dispensable
SO_0085,SO_0085,Dispensable
SO_0086,SO_0086,Dispensable
SO_0088,SO_0088,Dispensable
SO_0090,SO_0090,Dispensable
SO_0091,SO_0091,Dispensable
SO_0092,deoD,Dispensable
SO_0093,SO_0093,Dispensable
SO_0095,hutI,Dispensable
SO_0096,hutC,Dispensable
SO_0097,hutU,Dispensable
SO_0098,hutH,Dispensable
SO_0101,fdnG,Dispensable
SO_0102,fdnH,Dispensable
SO_0103,fdnI,Dispensable
SO_0104,fdhE,Dispensable
SO_0105,selA,Dispensable
SO_0106,selB,Dispensable
SO_t002,SO_t002,Dispensable
SO_0107,fdhD,Dispensable
SO_0108,yedE,Dispensable
SO_0109,yedF,Dispensable
SO_0110,SO_0110,Dispensable
SO_0111,SO_0111,Dispensable
SO_0112,SO_0112,Dispensable
SO_0113,SO_0113,Dispensable
SO_0114,SO_0114,Dispensable
SO_0115,SO_0115,Dispensable
SO_0116,SO_0116,Dispensable
SO_4830,SO_4830,Dispensable
SO_0118,SO_0118,Dispensable
SO_0119,SO_0119,Dispensable
SO_0120,SO_0120,Dispensable
SO_0121,ybdG,Dispensable
SO_0122,SO_0122,Dispensable
SO_0123,SO_0123,Dispensable
SO_0125,SO_0125,Dispensable
SO_0126,SO_0126,Dispensable
SO_0127,SO_0127,Dispensable
SO_0129,yhgN,Dispensable
SO_0130,prtV,Dispensable
SO_0131,ubiC,Dispensable
SO_0132,SO_0132,Dispensable
SO_0134,rlmF,Dispensable
SO_0135,SO_0135,Dispensable
SO_0136,SO_0136,Dispensable
SO_0137,moeB,Dispensable
SO_0138,moeA,Dispensable
SO_0139,ftn,Dispensable
SO_0141,SO_0141,Dispensable
SO_0142,ribB,Dispensable
SO_0144,ptrB,Dispensable
SO_0145,SO_0145,Dispensable
SO_0146,tnpA,Dispensable
SO_0147,SO_0147,Dispensable
SO_0148,SO_0148,Dispensable
SO_0149,SO_0149,Dispensable
SO_0150,SO_0150,Dispensable
SO_0151,SO_0151,Dispensable
SO_0152,SO_0152,Dispensable
SO_0154,SO_0154,Dispensable
SO_0157,SO_0157,Dispensable
