Mutants,AvUniqFeatures,SDUniq,FeaturesUpper,FeaturesLower,
1,1.0,0.0,1.0,1.0
2,2.0,0.0,2.0,2.0
3,2.8,0.4,3.2,2.4
4,3.8,0.4,4.2,3.4
5,4.6,0.8,5.4,3.8
6,5.4,1.2,6.6,4.2
7,6.4,1.2,7.6,5.2
8,7.2,1.16619037897,8.36619037897,6.03380962103
9,7.8,1.16619037897,8.96619037897,6.63380962103
10,8.6,1.35646599663,9.95646599663,7.24353400337
11,9.6,1.35646599663,10.9564659966,8.24353400337
12,10.6,1.35646599663,11.9564659966,9.24353400337
13,11.4,1.62480768093,13.0248076809,9.77519231907
14,12.2,1.6,13.8,10.6
15,13.2,1.6,14.8,11.6
16,14.2,1.6,15.8,12.6
17,15.0,1.67332005307,16.6733200531,13.3266799469
18,16.0,1.67332005307,17.6733200531,14.3266799469
19,17.0,1.67332005307,18.6733200531,15.3266799469
20,17.6,1.62480768093,19.2248076809,15.9751923191
21,18.4,1.8547236991,20.2547236991,16.5452763009
22,19.4,1.8547236991,21.2547236991,17.5452763009
23,20.4,1.8547236991,22.2547236991,18.5452763009
24,21.2,1.72046505341,22.9204650534,19.4795349466
25,22.2,1.72046505341,23.9204650534,20.4795349466
26,23.2,1.72046505341,24.9204650534,21.4795349466
27,24.2,1.72046505341,25.9204650534,22.4795349466
28,25.2,1.72046505341,26.9204650534,23.4795349466
29,26.0,1.67332005307,27.6733200531,24.3266799469
30,26.8,1.93907194297,28.739071943,24.860928057
31,27.8,1.93907194297,29.739071943,25.860928057
32,28.4,1.74355957742,30.1435595774,26.6564404226
33,29.4,1.74355957742,31.1435595774,27.6564404226
34,30.2,1.72046505341,31.9204650534,28.4795349466
35,31.2,1.72046505341,32.9204650534,29.4795349466
36,31.6,1.74355957742,33.3435595774,29.8564404226
37,32.6,1.74355957742,34.3435595774,30.8564404226
38,33.6,1.74355957742,35.3435595774,31.8564404226
39,34.2,1.72046505341,35.9204650534,32.4795349466
40,35.2,1.72046505341,36.9204650534,33.4795349466
41,36.0,2.0,38.0,34.0
42,37.0,2.0,39.0,35.0
43,37.8,1.72046505341,39.5204650534,36.0795349466
44,38.6,1.49666295471,40.0966629547,37.1033370453
45,39.4,1.62480768093,41.0248076809,37.7751923191
46,40.0,1.67332005307,41.6733200531,38.3266799469
47,40.8,1.93907194297,42.739071943,38.860928057
48,41.4,2.41660919472,43.8166091947,38.9833908053
49,42.2,2.71293199325,44.9129319933,39.4870680067
50,43.2,2.71293199325,45.9129319933,40.4870680067
51,44.0,2.52982212813,46.5298221281,41.4701778719
52,44.8,2.85657137142,47.6565713714,41.9434286286
53,45.6,2.7276363394,48.3276363394,42.8723636606
54,46.4,2.87054001888,49.2705400189,43.5294599811
55,47.2,2.71293199325,49.9129319933,44.4870680067
56,48.0,3.03315017762,51.0331501776,44.9668498224
57,49.0,3.03315017762,52.0331501776,45.9668498224
58,49.8,3.37045990927,53.1704599093,46.4295400907
59,50.6,3.26190128606,53.8619012861,47.3380987139
60,51.2,3.48711915483,54.6871191548,47.7128808452
61,51.8,3.37045990927,55.1704599093,48.4295400907
62,52.6,3.72021504755,56.3202150475,48.8797849525
63,53.6,3.72021504755,57.3202150475,49.8797849525
64,54.6,3.72021504755,58.3202150475,50.8797849525
65,55.4,4.07921561087,59.4792156109,51.3207843891
66,56.2,3.96988664826,60.1698866483,52.2301133517
67,56.8,3.7094473982,60.5094473982,53.0905526018
68,57.6,3.55527776693,61.1552777669,54.0447222331
69,58.0,3.84707681233,61.8470768123,54.1529231877
70,58.8,3.91918358845,62.7191835885,54.8808164115
71,59.4,3.82622529394,63.2262252939,55.5737747061
72,60.4,3.82622529394,64.2262252939,56.5737747061
73,61.4,3.82622529394,65.2262252939,57.5737747061
74,62.2,4.1665333312,66.3665333312,58.0334666688
75,63.0,4.0,67.0,59.0
76,63.8,3.86781592116,67.6678159212,59.9321840788
77,64.8,3.86781592116,68.6678159212,60.9321840788
78,65.6,3.97994974843,69.5799497484,61.6200502516
79,66.2,3.96988664826,70.1698866483,62.2301133517
80,67.0,4.28952211791,71.2895221179,62.7104778821
81,67.8,4.62168800332,72.4216880033,63.1783119967
82,68.8,4.62168800332,73.4216880033,64.1783119967
83,69.4,4.84148737476,74.2414873748,64.5585126252
84,70.4,4.84148737476,75.2414873748,65.5585126252
85,71.2,4.70744091838,75.9074409184,66.4925590816
86,71.6,4.49888875168,76.0988887517,67.1011112483
87,72.4,4.36348484585,76.7634848459,68.0365151541
88,73.0,4.60434577329,77.6043457733,68.3956542267
89,74.0,4.60434577329,78.6043457733,69.3956542267
90,74.6,4.84148737476,79.4414873748,69.7585126252
91,75.2,4.5343136195,79.7343136195,70.6656863805
92,76.0,4.42718872424,80.4271887242,71.5728112758
93,77.0,4.42718872424,81.4271887242,72.5728112758
94,77.6,4.12795348811,81.7279534881,73.4720465119
95,78.6,4.12795348811,82.7279534881,74.4720465119
96,79.4,4.02988833592,83.4298883359,75.3701116641
97,80.2,4.06939798988,84.2693979899,76.1306020101
98,80.8,3.76297754445,84.5629775444,77.0370224556
99,81.8,3.76297754445,85.5629775444,78.0370224556
100,82.4,3.77359245282,86.1735924528,78.6264075472
101,83.0,3.52136337233,86.5213633723,79.4786366277
102,84.0,3.52136337233,87.5213633723,80.4786366277
103,84.8,3.31058907145,88.1105890714,81.4894109286
104,85.4,3.49857113691,88.8985711369,81.9014288631
105,86.2,3.31058907145,89.5105890714,82.8894109286
106,87.0,3.16227766017,90.1622776602,83.8377223398
