threshold	linesThatMapToLibraryAddresses	linesThatMapToSingleLibraryAddresses	linesThatMapToMultipleLibraryAddresses	linesThatMapToUnambiguousLibraryAddresses	linesThatMapToAmbiguousLibraryAddresses	linesThatDoNotMapToLibraryAddresses	linesThatHaveNoReadsAboveThresholdInAnyPool	linesThatMapToControlIndexesOnly	linesThatHaveCoordinatesInNoPoolAxis	linesThatHaveCoordinatesInOnlyOnePoolAxis	linesThatHaveCoordinatesInOnlyTwoPoolAxes	linesThatHaveCoordinatesInOnlyThreePoolAxes	
1	37255	3779	33476	6637	30618	46125	0	3321	3321	24590	11284	6930
2	33828	11269	22559	18855	14973	49552	24679	2526	27205	12491	5872	3984
